severity,category,node,title,current,required,remediation,hops_from_change,propagation_path,locations,detail,other_usages
CRITICAL,derived-variable,var:CSBILLCYC::WS-NEW-BALANCE,WS-NEW-BALANCE is too small for the widened value,01 WS-NEW-BALANCE PIC S9(11)V99 COMP-3,signed numeric(13.2),Change to: 01 WS-NEW-BALANCE PIC S9(13)V9(2) COMP-3.,2,CSS_CUSTOMER.CUST_BALANCE -> CSBILLCYC::CS-CUST-BALANCE -> CSBILLCYC::WS-NEW-BALANCE,examples/css/src/csbillcyc.pco:51; examples/css/src/csbillcyc.pco:22,"Reached through a compute edge at examples/css/src/csbillcyc.pco:51. Current PIC holds signed numeric(11.2), but signed numeric(13.2) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSBILLCYC::XT-CUST-NAME,XT-CUST-NAME is too small for the widened value,05 XT-CUST-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 XT-CUST-NAME PIC X(40).,2,CSS_CUSTOMER.CUST_NAME -> CSBILLCYC::CS-CUST-NAME -> CSBILLCYC::XT-CUST-NAME,examples/css/src/csbillcyc.pco:65; examples/css/copybooks/CSXTRACT.cpy:7,"Reached through a move edge at examples/css/src/csbillcyc.pco:65. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSCUSTINQ::CS-RL-BALANCE,CS-RL-BALANCE is too small for the widened value,"05 CS-RL-BALANCE PIC ZZ,ZZZ,ZZ9.99- DISPLAY",signed numeric(11.2),"Change to: 05 CS-RL-BALANCE PIC ZZZZZ,ZZZ,ZZ9.99-.",2,CSS_CUSTOMER.CUST_BALANCE -> CSCUSTINQ::CS-CUST-BALANCE -> CSCUSTINQ::CS-RL-BALANCE,examples/css/src/cscustinq.pco:53; examples/css/copybooks/CSWORK.cpy:11,"Reached through a move edge at examples/css/src/cscustinq.pco:53. Current PIC holds signed numeric(8.2), but signed numeric(11.2) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSCUSTINQ::CS-RL-NAME,CS-RL-NAME is too small for the widened value,05 CS-RL-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 CS-RL-NAME PIC X(40).,2,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSCUSTINQ::CS-RL-NAME,examples/css/src/cscustinq.pco:52; examples/css/copybooks/CSWORK.cpy:7,"Reached through a move edge at examples/css/src/cscustinq.pco:52. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSCUSTINQ::CS-SHORT-NAME,CS-SHORT-NAME is too small for the widened value,01 CS-SHORT-NAME PIC X(20) DISPLAY,alphanumeric(40),Change to: 01 CS-SHORT-NAME PIC X(40).,2,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSCUSTINQ::CS-SHORT-NAME,examples/css/src/cscustinq.pco:59; examples/css/copybooks/CSWORK.cpy:20,"Reached through a move edge at examples/css/src/cscustinq.pco:59. Current PIC holds alphanumeric(20), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",reference-modification: the offset/length is hard-coded and will not follow the new width.
CRITICAL,derived-variable,var:CSSVCORD::CS-SVC-CUST-NAME,CS-SVC-CUST-NAME is too small for the widened value,05 CS-SVC-CUST-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 CS-SVC-CUST-NAME PIC X(40).,2,CSS_CUSTOMER.CUST_NAME -> CSSVCORD::CS-CUST-NAME -> CSSVCORD::CS-SVC-CUST-NAME,examples/css/src/cssvcord.pco:37; examples/css/copybooks/CSSVC.cpy:8,"Reached through a move edge at examples/css/src/cssvcord.pco:37. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSBILLCYC::CS-RL-BALANCE,CS-RL-BALANCE is too small for the widened value,"05 CS-RL-BALANCE PIC ZZ,ZZZ,ZZ9.99- DISPLAY",signed numeric(13.2),"Change to: 05 CS-RL-BALANCE PIC ZZZZZZZ,ZZZ,ZZ9.99-.",3,CSS_CUSTOMER.CUST_BALANCE -> CSBILLCYC::CS-CUST-BALANCE -> CSBILLCYC::WS-NEW-BALANCE -> CSBILLCYC::CS-RL-BALANCE,examples/css/src/csbillcyc.pco:60; examples/css/copybooks/CSWORK.cpy:11,"Reached through a move edge at examples/css/src/csbillcyc.pco:60. Current PIC holds signed numeric(8.2), but signed numeric(13.2) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSBILLCYC::XT-BALANCE,XT-BALANCE is too small for the widened value,05 XT-BALANCE PIC S9(11)V99 COMP-3,signed numeric(13.2),Change to: 05 XT-BALANCE PIC S9(13)V9(2) COMP-3.,3,CSS_CUSTOMER.CUST_BALANCE -> CSBILLCYC::CS-CUST-BALANCE -> CSBILLCYC::WS-NEW-BALANCE -> CSBILLCYC::XT-BALANCE,examples/css/src/csbillcyc.pco:67; examples/css/copybooks/CSXTRACT.cpy:9,"Reached through a move edge at examples/css/src/csbillcyc.pco:67. Current PIC holds signed numeric(11.2), but signed numeric(13.2) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSFMTNAM::WS-WORK-NAME,WS-WORK-NAME is too small for the widened value,01 WS-WORK-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 01 WS-WORK-NAME PIC X(40).,3,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSFMTNAM::LK-RAW-NAME -> CSFMTNAM::WS-WORK-NAME,examples/css/src/csfmtnam.pco:19; examples/css/src/csfmtnam.pco:10; examples/css/src/csfmtnam.pco:20,"Reached through a move edge at examples/css/src/csfmtnam.pco:19. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.","inspect: INSPECT scans the whole field including trailing spaces, so counts change."
CRITICAL,derived-variable,var:CSBILLCYC::EXTRACT-RECORD,EXTRACT-RECORD is too small for the widened value,01 EXTRACT-RECORD PIC X(80) DISPLAY,alphanumeric(97),Change to: 01 EXTRACT-RECORD PIC X(97).,4,CSS_CUSTOMER.CUST_NAME -> CSBILLCYC::CS-CUST-NAME -> CSBILLCYC::XT-CUST-NAME -> CSBILLCYC::CS-XTRACT-REC -> CSBILLCYC::EXTRACT-RECORD,examples/css/src/csbillcyc.pco:68; examples/css/src/csbillcyc.pco:12,"Reached through a write-from edge at examples/css/src/csbillcyc.pco:68. Current PIC holds alphanumeric(80), but alphanumeric(97) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSFMTNAM::WS-FIRST-NAME,WS-FIRST-NAME is too small for the widened value,01 WS-FIRST-NAME PIC X(20) DISPLAY,alphanumeric(40),Change to: 01 WS-FIRST-NAME PIC X(40).,4,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSFMTNAM::LK-RAW-NAME -> CSFMTNAM::WS-WORK-NAME -> CSFMTNAM::WS-FIRST-NAME,examples/css/src/csfmtnam.pco:22; examples/css/src/csfmtnam.pco:12,"Reached through a unstring edge at examples/css/src/csfmtnam.pco:22. Current PIC holds alphanumeric(20), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSFMTNAM::WS-LAST-NAME,WS-LAST-NAME is too small for the widened value,01 WS-LAST-NAME PIC X(20) DISPLAY,alphanumeric(40),Change to: 01 WS-LAST-NAME PIC X(40).,4,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSFMTNAM::LK-RAW-NAME -> CSFMTNAM::WS-WORK-NAME -> CSFMTNAM::WS-LAST-NAME,examples/css/src/csfmtnam.pco:22; examples/css/src/csfmtnam.pco:11,"Reached through a unstring edge at examples/css/src/csfmtnam.pco:22. Current PIC holds alphanumeric(20), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSNOTES::LK-TECH-NOTES,LK-TECH-NOTES is too small for the widened value,01 LK-TECH-NOTES PIC X(60) DISPLAY,alphanumeric(70),Change to: 01 LK-TECH-NOTES PIC X(70).,4,CSS_CUSTOMER.CUST_NAME -> CSSVCORD::CS-CUST-NAME -> CSSVCORD::CS-SVC-CUST-NAME -> CSNOTES::LK-CUST-NAME -> CSNOTES::LK-TECH-NOTES,examples/css/src/csnotes.pco:17; examples/css/src/csnotes.pco:13,"Reached through a string edge at examples/css/src/csnotes.pco:17. Current PIC holds alphanumeric(60), but alphanumeric(70) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSNOTES::WS-NOTE-HEADER,WS-NOTE-HEADER is too small for the widened value,01 WS-NOTE-HEADER PIC X(30) DISPLAY,alphanumeric(40),Change to: 01 WS-NOTE-HEADER PIC X(40).,4,CSS_CUSTOMER.CUST_NAME -> CSSVCORD::CS-CUST-NAME -> CSSVCORD::CS-SVC-CUST-NAME -> CSNOTES::LK-CUST-NAME -> CSNOTES::WS-NOTE-HEADER,examples/css/src/csnotes.pco:16; examples/css/src/csnotes.pco:10,"Reached through a move edge at examples/css/src/csnotes.pco:16. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSFMTNAM::LK-DISPLAY-KEY,LK-DISPLAY-KEY is too small for the widened value,01 LK-DISPLAY-KEY PIC X(40) DISPLAY,alphanumeric(60),Change to: 01 LK-DISPLAY-KEY PIC X(60).,5,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSFMTNAM::LK-RAW-NAME -> CSFMTNAM::WS-WORK-NAME -> CSFMTNAM::WS-LAST-NAME -> CSFMTNAM::LK-DISPLAY-KEY,examples/css/src/csfmtnam.pco:25; examples/css/src/csfmtnam.pco:16,"Reached through a string edge at examples/css/src/csfmtnam.pco:25. Current PIC holds alphanumeric(40), but alphanumeric(60) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
HIGH,host-variable,var:CSCUSTINQ::CS-SEARCH-NAME,CS-SEARCH-NAME is too small for the widened value,01 CS-SEARCH-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 01 CS-SEARCH-NAME PIC X(40).,1,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-SEARCH-NAME,examples/css/src/cscustinq.pco:23; examples/css/copybooks/CSWORK.cpy:17,"Reached through a sql-predicate edge at examples/css/src/cscustinq.pco:23. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
HIGH,derived-variable,var:CSFMTNAM::LK-RAW-NAME,LK-RAW-NAME is too small for the widened value,01 LK-RAW-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 01 LK-RAW-NAME PIC X(40).,2,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSFMTNAM::LK-RAW-NAME,examples/css/src/cscustinq.pco:60; examples/css/src/csfmtnam.pco:15,"Reached through a call-arg edge at examples/css/src/cscustinq.pco:60. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
HIGH,database-column,col:CSS_ACCOUNT.ACCT_BILL_NAME,CSS_ACCOUNT.ACCT_BILL_NAME receives widened data and must grow too,alphanumeric(30) (inferred),alphanumeric(40),ALTER TABLE CSS_ACCOUNT MODIFY ACCT_BILL_NAME VARCHAR2(40);,3,CSS_CUSTOMER.CUST_NAME -> CSACCTUPD::CS-CUST-NAME -> CSACCTUPD::CS-ACCT-BILL-NAME -> CSS_ACCOUNT.ACCT_BILL_NAME,examples/css/src/csacctupd.pco:42,"A host variable carrying the widened value is bound to this column through a sql-bind edge at examples/css/src/csacctupd.pco:42. Writing the wider value into the current column raises ORA-01401/ORA-12899 or silently truncates. Its current width was inferred from the host variable bound to it, not read from the catalog — confirm against the real DDL.",
HIGH,database-column,col:CSS_ACCT_AUDIT.AUDIT_BILL_NAME,CSS_ACCT_AUDIT.AUDIT_BILL_NAME receives widened data and must grow too,alphanumeric(30) (inferred),alphanumeric(40),ALTER TABLE CSS_ACCT_AUDIT MODIFY AUDIT_BILL_NAME VARCHAR2(40);,3,CSS_CUSTOMER.CUST_NAME -> CSACCTUPD::CS-CUST-NAME -> CSACCTUPD::CS-ACCT-BILL-NAME -> CSS_ACCT_AUDIT.AUDIT_BILL_NAME,examples/css/src/csacctupd.pco:54,"A host variable carrying the widened value is bound to this column through a sql-bind edge at examples/css/src/csacctupd.pco:54. Writing the wider value into the current column raises ORA-01401/ORA-12899 or silently truncates. Its current width was inferred from the host variable bound to it, not read from the catalog — confirm against the real DDL.",
HIGH,database-column,col:CSS_ACCT_AUDIT.AUDIT_TEXT,CSS_ACCT_AUDIT.AUDIT_TEXT receives widened data and must grow too,alphanumeric(80) (inferred),alphanumeric(90),ALTER TABLE CSS_ACCT_AUDIT MODIFY AUDIT_TEXT VARCHAR2(90);,3,CSS_CUSTOMER.CUST_NAME -> CSACCTUPD::CS-CUST-NAME -> CSACCTUPD::WS-AUDIT-TEXT -> CSS_ACCT_AUDIT.AUDIT_TEXT,examples/css/src/csacctupd.pco:54,"A host variable carrying the widened value is bound to this column through a sql-bind edge at examples/css/src/csacctupd.pco:54. Writing the wider value into the current column raises ORA-01401/ORA-12899 or silently truncates. Its current width was inferred from the host variable bound to it, not read from the catalog — confirm against the real DDL.",
HIGH,database-column,col:CSS_SVC_ORDER.SVC_CUST_NAME,CSS_SVC_ORDER.SVC_CUST_NAME receives widened data and must grow too,alphanumeric(30) (inferred),alphanumeric(40),ALTER TABLE CSS_SVC_ORDER MODIFY SVC_CUST_NAME VARCHAR2(40);,3,CSS_CUSTOMER.CUST_NAME -> CSSVCORD::CS-CUST-NAME -> CSSVCORD::CS-SVC-CUST-NAME -> CSS_SVC_ORDER.SVC_CUST_NAME,examples/css/src/cssvcord.pco:38,"A host variable carrying the widened value is bound to this column through a sql-bind edge at examples/css/src/cssvcord.pco:38. Writing the wider value into the current column raises ORA-01401/ORA-12899 or silently truncates. Its current width was inferred from the host variable bound to it, not read from the catalog — confirm against the real DDL.",
HIGH,derived-variable,var:CSNOTES::LK-CUST-NAME,LK-CUST-NAME is too small for the widened value,01 LK-CUST-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 01 LK-CUST-NAME PIC X(40).,3,CSS_CUSTOMER.CUST_NAME -> CSSVCORD::CS-CUST-NAME -> CSSVCORD::CS-SVC-CUST-NAME -> CSNOTES::LK-CUST-NAME,examples/css/src/cssvcord.pco:45; examples/css/src/csnotes.pco:12,"Reached through a call-arg edge at examples/css/src/cssvcord.pco:45. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
HIGH,derived-variable,var:CSBILLCYC::CS-RL-FLAT,CS-RL-FLAT is too small for the widened value,01 CS-RL-FLAT PIC X(83) DISPLAY,alphanumeric(93),Change to: 01 CS-RL-FLAT REDEFINES CS-REPORT-LINE PIC X(93).,4,CSS_CUSTOMER.CUST_NAME -> CSBILLCYC::CS-CUST-NAME -> CSBILLCYC::CS-RL-NAME -> CSBILLCYC::CS-REPORT-LINE -> CSBILLCYC::CS-RL-FLAT,examples/css/copybooks/CSWORK.cpy:15; examples/css/copybooks/CSWORK.cpy:15; examples/css/src/csbillcyc.pco:61,"Reached through a redefines edge at examples/css/copybooks/CSWORK.cpy:15. Current PIC holds alphanumeric(83), but alphanumeric(93) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.","overlays the same storage (REDEFINES): 01 CS-REPORT-LINE (83 bytes, smaller than the new 93 - check it); display: report or log column alignment shifts."
HIGH,derived-variable,var:CSCUSTINQ::CS-RL-FLAT,CS-RL-FLAT is too small for the widened value,01 CS-RL-FLAT PIC X(83) DISPLAY,alphanumeric(93),Change to: 01 CS-RL-FLAT REDEFINES CS-REPORT-LINE PIC X(93).,4,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSCUSTINQ::CS-RL-NAME -> CSCUSTINQ::CS-REPORT-LINE -> CSCUSTINQ::CS-RL-FLAT,examples/css/copybooks/CSWORK.cpy:15; examples/css/copybooks/CSWORK.cpy:15; examples/css/src/cscustinq.pco:61,"Reached through a redefines edge at examples/css/copybooks/CSWORK.cpy:15. Current PIC holds alphanumeric(83), but alphanumeric(93) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.","overlays the same storage (REDEFINES): 01 CS-REPORT-LINE (83 bytes, smaller than the new 93 - check it); display: report or log column alignment shifts."
HIGH,derived-variable,var:CSSVCORD::CS-SVC-TECH-NOTES,CS-SVC-TECH-NOTES is too small for the widened value,05 CS-SVC-TECH-NOTES PIC X(60) DISPLAY,alphanumeric(70),Change to: 05 CS-SVC-TECH-NOTES PIC X(70).,5,CSS_CUSTOMER.CUST_NAME -> CSSVCORD::CS-CUST-NAME -> CSSVCORD::CS-SVC-CUST-NAME -> CSNOTES::LK-CUST-NAME -> CSNOTES::LK-TECH-NOTES -> CSSVCORD::CS-SVC-TECH-NOTES,examples/css/src/cssvcord.pco:45; examples/css/copybooks/CSSVC.cpy:11,"Reached through a call-arg edge at examples/css/src/cssvcord.pco:45. Current PIC holds alphanumeric(60), but alphanumeric(70) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
HIGH,derived-variable,var:CSCUSTINQ::CS-CUST-KEY,CS-CUST-KEY is too small for the widened value,01 CS-CUST-KEY PIC X(40) DISPLAY,alphanumeric(60),Change to: 01 CS-CUST-KEY PIC X(60).,6,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSFMTNAM::LK-RAW-NAME -> CSFMTNAM::WS-WORK-NAME -> CSFMTNAM::WS-LAST-NAME -> CSFMTNAM::LK-DISPLAY-KEY -> CSCUSTINQ::CS-CUST-KEY,examples/css/src/cscustinq.pco:60; examples/css/copybooks/CSWORK.cpy:18,"Reached through a call-arg edge at examples/css/src/cscustinq.pco:60. Current PIC holds alphanumeric(40), but alphanumeric(60) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
MEDIUM,record-layout,var:CSACCTUPD::CS-CUSTOMER-REC,CS-CUSTOMER-REC: record length grows 146 -> 156 bytes,146 bytes,156 bytes,"Rebuild the record layout, then recompile every program that copies this group and reload any file written with the old length.",2,CSS_CUSTOMER.CUST_NAME -> CSACCTUPD::CS-CUST-NAME -> CSACCTUPD::CS-CUSTOMER-REC,examples/css/copybooks/CSCUST.cpy:7; examples/css/copybooks/CSCUST.cpy:5,"This group contains a field that must widen, so every file, queue, CALL interface or REDEFINES that assumes the old record length has to be reviewed and rebuilt.",
MEDIUM,record-layout,var:CSBILLCYC::CS-CUSTOMER-REC,CS-CUSTOMER-REC: record length grows 146 -> 156 bytes,146 bytes,156 bytes,"Rebuild the record layout, then recompile every program that copies this group and reload any file written with the old length.",2,CSS_CUSTOMER.CUST_NAME -> CSBILLCYC::CS-CUST-NAME -> CSBILLCYC::CS-CUSTOMER-REC,examples/css/copybooks/CSCUST.cpy:7; examples/css/copybooks/CSCUST.cpy:5,"This group contains a field that must widen, so every file, queue, CALL interface or REDEFINES that assumes the old record length has to be reviewed and rebuilt.",
MEDIUM,record-layout,var:CSCUSTINQ::CS-CUSTOMER-REC,CS-CUSTOMER-REC: record length grows 146 -> 156 bytes,146 bytes,156 bytes,"Rebuild the record layout, then recompile every program that copies this group and reload any file written with the old length.",2,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME -> CSCUSTINQ::CS-CUSTOMER-REC,examples/css/copybooks/CSCUST.cpy:7; examples/css/copybooks/CSCUST.cpy:5,"This group contains a field that must widen, so every file, queue, CALL interface or REDEFINES that assumes the old record length has to be reviewed and rebuilt.",
MEDIUM,record-layout,var:CSSVCORD::CS-CUSTOMER-REC,CS-CUSTOMER-REC: record length grows 146 -> 156 bytes,146 bytes,156 bytes,"Rebuild the record layout, then recompile every program that copies this group and reload any file written with the old length.",2,CSS_CUSTOMER.CUST_NAME -> CSSVCORD::CS-CUST-NAME -> CSSVCORD::CS-CUSTOMER-REC,examples/css/copybooks/CSCUST.cpy:7; examples/css/copybooks/CSCUST.cpy:5,"This group contains a field that must widen, so every file, queue, CALL interface or REDEFINES that assumes the old record length has to be reviewed and rebuilt.",
